アーチェリー,あーちぇりー
引換,ひきかえ
蟇蛙,ひきがえる
引き金,ひきがね
引き際,ひきぎわ
悲喜劇,ひきげき
引き算,ひきざん
引き潮,ひきしお
引き出し,ひきだし
引き手,ひきて
引き戸,ひきど
引取,ひきとり
挽き肉,ひきにく
轢き逃げ,ひきにげ
引分,ひきわけ
ひぐま,ひぐま
ひぐらし,ひぐらし
日暮れ,ひぐれ
卑下,ひげ
悲劇,ひげき
火消し,ひけし
否決,ひけつ
髭根,ひげね
引け目,ひけめ
庇護,ひご
緋鯉,ひごい
飛行機,ひこうき
飛行船,ひこうせん
被告,ひこく
被告人,ひこくにん
日ごと,ひごと
彦星,ひこぼし
ひこ孫,ひこまご
日頃,ひごろ
膝,ひざ
ピザ,ぴざ
被災,ひさい
微罪,びざい
日盛り,ひざかり
秘策,ひさく
庇,ひさし
日差し,ひざし
久しぶり,ひさしぶり
氷雨,ひさめ
膝元,ひざもと
飛散,ひさん
皮脂,ひし
菱形,ひしがた
皮質,ひしつ
菱餅,ひしもち
美術館,びじゅつかん
秘書,ひしょ
微震,びしん
美声,びせい
砒素,ひそ
襞,ひだ
肥大,ひだい
鼻濁音,びだくおん
火種,ひだね
日溜まり,ひだまり
左,ひだり
左利き,ひだりきき
左手,ひだりて
左前,ひだりまえ
被弾,ひだん
美談,びだん
備蓄,びちく
篳篥,ひちりき
筆圧,ひつあつ
棺,ひつぎ
ビッグバン,びっぐばん
ピッコロ,ぴっころ
羊,ひつじ
筆舌,ひつぜつ
必然,ひつぜん
筆談,ひつだん
必読,ひつどく
筆名,ひつめい
否定,ひてい
ビデオ,びでお
日照り,ひでり
飛天,ひてん
秘伝,ひでん
美点,びてん
人,ひと
一足,ひとあし
一汗,ひとあせ
一息,ひといき
一重,ひとえ
一抱え,ひとかかえ
人垣,ひとがき
人影,ひとかげ
ひとかど,ひとかど
人柄,ひとがら
人斬り,ひときり
秘匿,ひとく
美徳,びとく
人食い,ひとくい
一癖,ひとくせ
一口,ひとくち
日時計,ひどけい
一声,ひとこえ
一言,ひとこと
他人事,ひとごと
人込み,ひとごみ
一頃,ひところ
人里,ひとざと
人様,ひとさま
人攫い,ひとさらい
人集り,ひとだかり
人助け,ひとだすけ
人魂,ひとだま
人違い,ひとちがい
人出,ひとで
一時,ひととき
人波,ひとなみ
一握り,ひとにぎり
一晩,ひとばん
人々,ひとびと
一筆,ひとふで
人前,ひとまえ
人任せ,ひとまかせ
一幕,ひとまく
一纏め,ひとまとめ
人真似,ひとまね
一回り,ひとまわり
瞳,ひとみ
人目,ひとめ
一巡り,ひとめぐり
一役,ひとやく
一休み,ひとやすみ
日取り,ひどり
独り言,ひとりごと
雛,ひな
日永,ひなが
雛形,ひながた
雛菊,ひなぎく
日なた,ひなた
雛鳥,ひなどり
避難,ひなん
美男,びなん
否認,ひにん
微熱,びねつ
ひねもす,ひねもす
日の入り,ひのいり
丙午,ひのえうま
檜,ひのき
火の車,ひのくるま
火の気,ひのけ
火の手,ひのて
日の出,ひので
日の丸,ひのまる
火の元,ひのもと
非売品,ひばいひん
被曝,ひばく
火箸,ひばし
火柱,ひばしら
火鉢,ひばち
火花,ひばな
雲雀,ひばり
批判,ひはん
非番,ひばん
日々,ひび
備品,びひん
皮膚,ひふ
日歩,ひぶ
被覆,ひふく
火膨れ,ひぶくれ
火蓋,ひぶた
秘仏,ひぶつ
ビブラフォン,びぶらふぉん
悲憤,ひふん
微分,びぶん
疲弊,ひへい
日偏,ひへん
干乾し,ひぼし
被膜,ひまく
ひ孫,ひまご
日増し,ひまし
ひまわり,ひまわり
肥満,ひまん
秘密,ひみつ
微妙,びみょう
氷室,ひむろ
姫,ひめ
悲鳴,ひめい
美名,びめい
姫君,ひめぎみ
姫路,ひめじ
姫ゆり,ひめゆり
罷免,ひめん
紐,ひも
費目,ひもく
日持ち,ひもち
火元,ひもと
干物,ひもの
冷や,ひや
冷や汗,ひやあせ
媚薬,びやく
日焼け,ひやけ
日雇い,ひやとい
冷やりと,ひやりと
比喩,ひゆ
費用,ひよう
病院,びょういん
美容院,びよういん
評価,ひょうか
病気,びょうき
表現,ひょうげん
兵庫,ひょうご
平等,びょうどう
表面,ひょうめん
尾翼,びよく
日除け,ひよけ
ひよこ,ひよこ
ぴょこっと,ぴょこっと
ひょこひょこ,ひょこひょこ
鵯,ひよどり
日和,ひより
日和見,ひよりみ
ぴょんぴょん,ぴょんぴょん
平,ひら
飛来,ひらい
平泳ぎ,ひらおよぎ
平仮名,ひらがな
開き戸,ひらきど
平手,ひらて
平幕,ひらまく
ひらめ,ひらめ
平屋,ひらや
びり,びり
比率,ひりつ
ビリヤード,びりやーど
昼,ひる
ビル,びる
比類,ひるい
昼顔,ひるがお
昼げ,ひるげ
昼ご飯,ひるごはん
昼時,ひるどき
昼寝,ひるね
昼日中,ひるひなか
昼間,ひるま
昼休み,ひるやすみ
ひれ,ひれ
比例,ひれい
美麗,びれい
披歴,ひれき
拾い物,ひろいもの
広島,ひろしま
広島駅,ひろしまえき
広島市,ひろしまし
広場,ひろば
広間,ひろま
秘話,ひわ
びわ,びわ
日割り,ひわり
品,ひん
便,びん
品位,ひんい
品格,ひんかく
貧苦,ひんく
貧血,ひんけつ
貧困,ひんこん
品詞,ひんし
品質,ひんしつ
品性,ひんせい
便箋,びんせん
貧打,ひんだ
頻度,ひんど
歩合,ぶあい
ファイアウォール,ふぁいあうぉーる
ファイル,ふぁいる
ファゴット,ふぁごっと
ファン,ふぁん
不安,ふあん
ファンシー,ふぁんしー
無為,ぶい
不意打ち,ふいうち
鞴,ふいご
フィジー,ふぃじー
ブイヨン,ぶいよん
フィリピン,ふぃりぴん
部員,ぶいん
風景,ふうけい
ブータン,ぶーたん
ブーツ,ぶーつ
封筒,ふうとう
夫婦,ふうふ
プール,ぷーる
笛,ふえ
フェイスタオル,ふぇいすたおる
不易,ふえき
笛吹き,ふえふき
フェリー,ふぇりー
プエルトリコ,ぷえるとりこ
フェンシング,ふぇんしんぐ
フォーク,ふぉーく
フォルダ,ふぉるだ
付加,ふか
部下,ぶか
深井,ふかい
部会,ぶかい
深入り,ふかいり
深追い,ふかおい
舞楽,ぶがく
不可侵,ふかしん
不可知,ふかち
部活,ぶかつ
深手,ふかで
ブカレスト,ぶかれすと
付記,ふき
府議,ふぎ
武器,ぶき
付近,ふきん
副,ふく
河豚,ふぐ
武具,ぶぐ
腹案,ふくあん
福井,ふくい
復員,ふくいん
服役,ふくえき
福岡,ふくおか
復学,ふくがく
複眼,ふくがん
復元,ふくげん
副詞,ふくし
複式,ふくしき
福島,ふくしま
腹心,ふくしん
腹水,ふくすい
複数,ふくすう
複製,ふくせい
伏線,ふくせん
服装,ふくそう
副題,ふくだい
服毒,ふくどく
復配,ふくはい
福引き,ふくびき
腹部,ふくぶ
福袋,ふくぶくろ
複文,ふくぶん
伏兵,ふくへい
腹壁,ふくへき
副本,ふくほん
含み益,ふくみえき
含み損,ふくみそん
服務,ふくむ
覆面,ふくめん
服喪,ふくも
服薬,ふくやく
脹ら脛,ふくらはぎ
福利,ふくり
復路,ふくろ
雲脂,ふけ
武家,ぶけ
婦警,ふけい
武芸,ぶげい
不敬罪,ふけいざい
府県,ふけん
付言,ふげん
布告,ふこく
房,ふさ
夫妻,ふさい
不在,ふざい
部材,ぶざい
不作,ふさく
父子,ふし
武士,ぶし
節穴,ふしあな
藤井,ふじい
藤田,ふじた
部室,ぶしつ
節々,ふしぶし
伏し目,ふしめ
藤原,ふじわら
普請,ふしん
襖,ふすま
布施,ふせ
府政,ふせい
風情,ふぜい
無勢,ぶぜい
布石,ふせき
敷設,ふせつ
不戦,ふせん
不全,ふぜん
父祖,ふそ
不足,ふそく
付属,ふぞく
部族,ぶぞく
不遜,ふそん
蓋,ふた
札,ふだ
豚,ぶた
付帯,ふたい
舞台,ぶたい
不退転,ふたいてん
二親,ふたおや
付託,ふたく
双子,ふたご
二手,ふたて
豚肉,ぶたにく
二葉,ふたば
ブダペスト,ぶだぺすと
負担,ふたん
不断,ふだん
普段着,ふだんぎ
淵,ふち
斑,ぶち
府庁,ふちょう
物,ぶつ
物議,ぶつぎ
仏具,ぶつぐ
ブックエンド,ぶっくえんど
ふっくら,ふっくら
ぷっくり,ぷっくり
物質,ぶっしつ
仏前,ぶつぜん
フッ素,ふっそ
仏陀,ぶつだ
仏壇,ぶつだん
沸騰,ふっとう
仏文,ふつぶん
仏間,ぶつま
仏滅,ぶつめつ
仏門,ぶつもん
物理,ぶつり
筆,ふで
不適,ふてき
筆箱,ふでばこ
太藺,ふとい
葡萄,ぶどう
武道館,ぶどうかん
懐,ふところ
懐手,ふところで
太股,ふともも
ふとん,ふとん
ふな,ふな
山毛欅,ぶな
船足,ふなあし
舟歌,ふなうた
不仲,ふなか
船底,ふなぞこ
船旅,ふなたび
船賃,ふなちん
船出,ふなで
船乗り,ふなのり
船端,ふなばた
船便,ふなびん
船縁,ふなべり
船虫,ふなむし
船宿,ふなやど
船酔い,ふなよい
ぷにぷに,ぷにぷに
ふにゃふにゃ,ふにゃふにゃ
赴任,ふにん
槽,ふね
不燃,ふねん
布海苔,ふのり
プノンペン,ぷのんぺん
腐敗,ふはい
不買,ふばい
不発,ふはつ
不払い,ふばらい
部品,ぶひん
吹雪,ふぶき
部分,ぶぶん
不文律,ふぶんりつ
不平,ふへい
普遍,ふへん
父母,ふぼ
不満,ふまん
踏み石,ふみいし
踏み絵,ふみえ
踏切,ふみきり
踏み台,ふみだい
踏み場,ふみば
不眠,ふみん
譜面,ふめん
麓,ふもと
不問,ふもん
部門,ぶもん
冬,ふゆ
冬型,ふゆがた
冬枯れ,ふゆがれ
冬場,ふゆば
冬物,ふゆもの
冬山,ふゆやま
付与,ふよ
蚋,ぶよ
ブラウザ,ぶらうざ
ブラウス,ぶらうす
部落,ぶらく
ブラジリア,ぶらじりあ
ブラジル,ぶらじる
プラスチック,ぷらすちっく
ブラックホール,ぶらっくほーる
プラネタリウム,ぷらねたりうむ
プラハ,ぷらは
腐乱,ふらん
プラン,ぷらん
孵卵器,ふらんき
プランクトン,ぷらんくとん
フランス,ふらんす
ブランデー,ぶらんでー
ブランド,ぶらんど
ぶり,ぶり
振替,ふりかえ
ふりかけ,ふりかけ
振り仮名,ふりがな
振り子,ふりこ
振り駒,ふりごま
振込,ふりこみ
振り袖,ふりそで
振出,ふりだし
府立,ふりつ
振付,ふりつけ
プリティ,ぷりてぃ
ブリュッセル,ぶりゅっせる
フリル,ふりる
プリン,ぷりん
プリンター,ぷりんたー
古井,ふるい
部類,ぶるい
フルート,ふるーと
古顔,ふるがお
ブルガリア,ぶるがりあ
古着,ふるぎ
古里,ふるさと
古巣,ふるす
古手,ふるて
隹,ふるとり
ぷるぷる,ぷるぷる
古本,ふるほん
ブルンジ,ぶるんじ
ブレーキ,ぶれーき
触れ込み,ふれこみ
ブレスレット,ぶれすれっと
プレゼント,ぷれぜんと
プレトリア,ぷれとりあ
風呂,ふろ
プロ,ぷろ
ブローチ,ぶろーち
付録,ふろく
ブログ,ぶろぐ
プログラミング,ぷろぐらみんぐ
風呂敷,ふろしき
不惑,ふわく
不渡り,ふわたり
ふわっと,ふわっと
ふわふわ,ふわふわ
分,ぶん
文案,ぶんあん
文意,ぶんい
雰囲気,ふんいき
噴火,ふんか
分化,ぶんか
憤慨,ふんがい
分解,ぶんかい
文学,ぶんがく
文学部,ぶんがくぶ
文科系,ぶんかけい
文化財,ぶんかざい
文化センター,ぶんかせんたー
分割,ぶんかつ
分館,ぶんかん
奮起,ふんき
分岐,ぶんき
踏ん切り,ふんぎり
文具,ぶんぐ
分家,ぶんけ
文系,ぶんけい
文芸,ぶんげい
憤激,ふんげき
分権,ぶんけん
文言,ぶんげん
文庫,ぶんこ
文語,ぶんご
粉砕,ふんさい
文才,ぶんさい
分散,ぶんさん
分子,ぶんし
紛失,ふんしつ
分室,ぶんしつ
文章,ぶんしょう
分針,ふんしん
分身,ぶんしん
噴水,ふんすい
分数,ぶんすう
分析,ぶんせき
文節,ぶんせつ
奮戦,ふんせん
紛争,ふんそう
分速,ふんそく
分隊,ぶんたい
分担,ぶんたん
分断,ぶんだん
文鎮,ぶんちん
分度器,ぶんどき
褌,ふんどし
憤怒,ふんぬ
文房具,ぶんぼうぐ
分野,ぶんや
分与,ぶんよ
文楽,ぶんらく
分離,ぶんり
分立,ぶんりつ
分類,ぶんるい
奮励,ふんれい
文例,ぶんれい
分裂,ぶんれつ
ヘアバンド,へあばんど
ヘアピン,へあぴん
兵,へい
兵員,へいいん
兵役,へいえき
閉園,へいえん
平温,へいおん
平価,へいか
米価,べいか
閉会,へいかい
弊害,へいがい
閉館,へいかん
併願,へいがん
併記,へいき
平均,へいきん
米軍,べいぐん
平家,へいけ
閉経,へいけい
平原,へいげん
米語,べいご
平行,へいこう
米穀,べいこく
貝独楽,べいごま
閉鎖,へいさ
併催,へいさい
米作,べいさく
閉山,へいざん
兵士,へいし
米誌,べいし
平生,へいぜい
併設,へいせつ
平素,へいそ
閉塞,へいそく
兵卒,へいそつ
併存,へいそん
兵隊,へいたい
兵站,へいたん
平地,へいち
平定,へいてい
閉店,へいてん
併任,へいにん
平熱,へいねつ
平年,へいねん
併発,へいはつ
米飯,べいはん
平伏,へいふく
閉幕,へいまく
平民,へいみん
平面,へいめん
閉門,へいもん
平野,へいや
平癒,へいゆ
並立,へいりつ
ベイルート,べいるーと
並列,へいれつ
平和,へいわ
ベーグル,べーぐる
ページ,ぺーじ
ベオグラード,べおぐらーど
冪,べき
辟易,へきえき
壁画,へきが
僻地,へきち
壁面,へきめん
北京,ぺきん
ベクトル,べくとる
舳先,へさき
ベスト,べすと
臍,へそ
べそ,べそ
臍繰り,へそくり
蔕,へた
べた褒め,べたほめ
天糸瓜,へちま
別院,べついん
別荘,べっそう
ベッド,べっど
ヘッドホン,へっどほん
別便,べつびん
別棟,べつむね
別名,べつめい
別物,べつもの
別離,べつり
別枠,べつわく
ぺてん,ぺてん
反吐,へど
ベトナム,べとなむ
へどろ,へどろ
ベナン,べなん
紅,べに
紅花,べにばな
ベネズエラ,べねずえら
蛇,へび
へま,へま
部屋,へや
篦,へら
遍羅,べら
ベラルーシ,べらるーし
ヘリウム,へりうむ
屁理屈,へりくつ
ヘリコプター,へりこぷたー
ペルー,ぺるー
ヘルシンキ,へるしんき
ベルト,べると
ヘルメット,へるめっと
ベルリン,べるりん
べろ,べろ
偏,へん
便,べん
ペン,ぺん
変圧器,へんあつき
変異,へんい
変化,へんか
弁解,べんかい
勉学,べんがく
変換,へんかん
便器,べんき
便宜,べんぎ
勉強,べんきょう
返金,へんきん
ペンギン,ぺんぎん
変形,へんけい
偏見,へんけん
弁護,べんご
弁護士,べんごし
弁護人,べんごにん
便座,べんざ
返済,へんさい
偏在,へんざい
弁済,べんさい
偏差値,へんさち
編纂,へんさん
弁士,べんし
変質,へんしつ
ペンション,ぺんしょん
変心,へんしん
編成,へんせい
偏西風,へんせいふう
変節,へんせつ
弁舌,べんぜつ
変遷,へんせん
変速,へんそく
変態,へんたい
ペン立て,ぺんたて
辺地,へんち
変哲,へんてつ
変転,へんてん
弁当,べんとう
弁当箱,べんとうばこ
便覧,べんらん
片鱗,へんりん
返礼,へんれい
勉励,べんれい
遍歴,へんれき
遍路,へんろ
弁論,べんろん
保安,ほあん
保育,ほいく
保育園,ほいくえん
保育士,ほいくし
捕逸,ほいつ
母音,ぼいん
貿易,ぼうえき
方角,ほうがく
箒,ほうき
防具,ぼうぐ
方向,ほうこう
報告,ほうこく
帽子,ぼうし
宝石,ほうせき
放送,ほうそう
法則,ほうそく
包丁,ほうちょう
方程式,ほうていしき
報道,ほうどう
豊富,ほうふ
方法,ほうほう
法務局,ほうむきょく
訪問,ほうもん
法律,ほうりつ
ボウリング,ぼうりんぐ
ポーチ,ぽーち
ボート,ぼーと
ボート競技,ぼーときょうぎ
ホームページ,ほーむぺーじ
ボール,ぼーる
ボールペン,ぼーるぺん
外,ほか
簿価,ぼか
保革,ほかく
火影,ほかげ
ぽかぽか,ぽかぽか
保管,ほかん
母艦,ぼかん
簿記,ぼき
保菌,ほきん
募金,ぼきん
僕,ぼく
北緯,ほくい
墨画,ぼくが
牧師,ぼくし
牧場,ぼくじょう
ボクシング,ぼくしんぐ
北西,ほくせい
北端,ほくたん
牧畜,ぼくちく
北部,ほくぶ
撲滅,ぼくめつ
ほくろ,ほくろ
惚,ぼけ
捕鯨,ほげい
母系,ぼけい
補欠,ほけつ
墓穴,ぼけつ
保健,ほけん
保健所,ほけんじょ
矛,ほこ
保護,ほご
母国,ぼこく
矛先,ほこさき
保護司,ほごし
ボゴタ,ぼごた
ほこら,ほこら
埃,ほこり
補佐,ほさ
穂先,ほさき
菩薩,ぼさつ
墓参,ぼさん
星,ほし
母子,ぼし
干し柿,ほしがき
星影,ほしかげ
干し草,ほしくさ
星空,ほしぞら
保湿,ほしつ
星取,ほしとり
干し物,ほしもの
保証,ほしょう
保身,ほしん
ポスト,ぽすと
ボストンバッグ,ぼすとんばっぐ
補正,ほせい
保税,ほぜい
母性,ぼせい
保線,ほせん
保全,ほぜん
母船,ぼせん
墓前,ぼぜん
臍,ほぞ
歩測,ほそく
細引き,ほそびき
細身,ほそみ
細道,ほそみち
細目,ほそめ
保存,ほぞん
母体,ぼたい
ほたて,ほたて
牡丹餅,ぼたもち
蛍,ほたる
牡丹,ぼたん
ぼたんえび,ぼたんえび
墓地,ぼち
没,ぼつ
北海道,ほっかいどう
発願,ほつがん
ほっき貝,ほっきがい
没後,ぼつご
ほっこり,ほっこり
ぽっちゃり,ぽっちゃり
ホットプレート,ほっとぷれーと
没年,ぼつねん
ポップ,ぽっぷ
ほっぺ,ほっぺ
没落,ぼつらく
ボツワナ,ぼつわな
ぽてぽて,ぽてぽて
ホテル,ほてる
補填,ほてん
程,ほど
程合,ほどあい
仏,ほとけ
仏様,ほとけさま
ほとぼり,ほとぼり
ほとり,ほとり
ほとんど,ほとんど
哺乳類,ほにゅうるい
骨,ほね
骨折り,ほねおり
骨組み,ほねぐみ
骨付き,ほねつき
骨抜き,ほねぬき
骨身,ほねみ
骨休め,ほねやすめ
帆柱,ほばしら
歩幅,ほはば
墓碑,ぼひ
保父,ほふ
歩兵,ほへい
保母,ほぼ
帆前船,ほまえせん
誉れ,ほまれ
ぽよぽよ,ぽよぽよ
法螺貝,ほらがい
法螺吹き,ほらふき
堀,ほり
彫り師,ほりし
堀端,ほりばた
ボリビア,ぼりびあ
彫り物,ほりもの
掘り割り,ほりわり
ホルン,ほるん
保冷,ほれい
保冷剤,ほれいざい
幌,ほろ
ぼろ,ぼろ
ポロシャツ,ぽろしゃつ
ほろ酔い,ほろよい
ほろりと,ほろりと
ホワイトボード,ほわいとぼーど
ほわほわ,ほわほわ
本,ほん
盆,ぼん
翻案,ほんあん
翻意,ほんい
本院,ほんいん
盆踊り,ぼんおどり
本格,ほんかく
本館,ほんかん
本願,ほんがん
本曇り,ほんぐもり
本家,ほんけ
本件,ほんけん
ボンゴ,ぼんご
本国,ほんごく
本腰,ほんごし
香港,ほんこん
盆栽,ぼんさい
本山,ほんざん
本旨,ほんし
本式,ほんしき
本質,ほんしつ
ホンジュラス,ほんじゅらす
本心,ほんしん
本籍,ほんせき
本線,ほんせん
本尊,ほんぞん
凡打,ぼんだ
本体,ほんたい
本題,ほんだい
凡退,ぼんたい
本棚,ほんだな
盆地,ぼんち
ポンチョ,ぽんちょ
本店,ほんてん
本殿,ほんでん
本土,ほんど
本当,ほんとう
本人,ほんにん
本音,ほんね
本年,ほんねん
本屋,ほんや
翻訳,ほんやく
翻訳家,ほんやくか
本来,ほんらい
本欄,ほんらん
本塁,ほんるい
本論,ほんろん
間合い,まあい
マーカー,まーかー
マーガリン,まーがりん
マーク,まーく
米,まい
毎朝,まいあさ
毎回,まいかい
舞子,まいこ
迷子,まいご
毎週,まいしゅう
邁進,まいしん
埋設,まいせつ
舞茸,まいたけ
毎月,まいつき
毎度,まいど
毎年,まいとし
毎日,まいにち
毎晩,まいばん
舞姫,まいひめ
毎分,まいふん
埋没,まいぼつ
毎夜,まいよ
マウス,まうす
前,まえ
前足,まえあし
前祝い,まえいわい
前売り,まえうり
前置き,まえおき
前屈み,まえかがみ
前書き,まえがき
前掛け,まえかけ
前髪,まえがみ
前借り,まえがり
前田,まえだ
前倒し,まえだおし
前歯,まえば
前橋,まえばし
前払い,まえばらい
前触れ,まえぶれ
前々,まえまえ
前褌,まえみつ
前渡し,まえわたし
紛,まがい
擬い物,まがいもの
真顔,まがお
間借り,まがり
マカロン,まかろん
牧,まき
巻き網,まきあみ
蒔絵,まきえ
巻き貝,まきがい
巻き紙,まきがみ
巻き添え,まきぞえ
巻き鬚,まきひげ
巻き物,まきもの
間際,まぎわ
幕,まく
幕あい,まくあい
幕開き,まくあき
幕開け,まくあけ
幕切れ,まくぎれ
まぐさ,まぐさ
幕下,まくした
間口,まぐち
マグネシウム,まぐねしうむ
まくら,まくら
枕木,まくらぎ
枕元,まくらもと
まぐれ,まぐれ
まぐろ,まぐろ
髷,まげ
負けん気,まけんき
孫,まご
真鯉,まごい
真心,まごころ
孫娘,まごむすめ
鉞,まさかり
摩擦,まさつ
正目,まさめ
正夢,まさゆめ
桝,ます
麻酔,ますい
不味い,まずい
マスコット,ますこっと
升目,ますめ
股,また
真鯛,まだい
又貸し,またがし
マダガスカル,まだがすかる
又聞き,またぎき
また裂き,またさき
斑,まだら
麻垂れ,まだれ
町,まち
待ち合わせ,まちあわせ
間違い,まちがい
街角,まちかど
町並み,まちなみ
待ち針,まちばり
待ち伏せ,まちぶせ
町役場,まちやくば
末,まつ
松笠,まつかさ
松風,まつかぜ
まつ毛,まつげ
マッサージ店,まっさーじてん
松田,まつだ
末代,まつだい
松茸,まつたけ
マット,まっと
松原,まつばら
末尾,まつび
松虫,まつむし
松本,まつもと
松脂,まつやに
祭,まつり
末路,まつろ
的,まと
窓,まど
窓際,まどぎわ
窓口,まどぐち
窓越し,まどごし
間取り,まどり
マドリード,まどりーど
まな板,まないた
マナグア,まなぐあ
目差し,まなざし
真夏日,まなつび
愛弟子,まなでし
愛娘,まなむすめ
マニラ,まにら
間延び,まのび
瞬き,まばたき
麻痺,まひ
マフィン,まふぃん
目蓋,まぶた
真冬日,まふゆび
マフラー,まふらー
幻,まぼろし
飯事,ままごと
継母,ままはは
真向かい,まむかい
まむし,まむし
豆,まめ
摩滅,まめつ
豆蒔き,まめまき
魔物,まもの
守り神,まもりがみ
まやかし,まやかし
麻薬,まやく
眉,まゆ
眉毛,まゆげ
魔除け,まよけ
真夜中,まよなか
マヨネーズ,まよねーず
マラウイ,まらうい
マラカス,まらかす
マラソン,まらそん
鞠,まり
毬藻,まりも
マリンバ,まりんば
丸,まる
丸洗い,まるあらい
丸顔,まるがお
丸抱え,まるがかえ
丸形,まるがた
丸刈り,まるがり
丸木,まるき
丸損,まるぞん
丸太,まるた
丸出し,まるだし
丸飲み,まるのみ
丸裸,まるはだか
丸見え,まるみえ
丸焼き,まるやき
丸焼け,まるやけ
マレーシア,まれーしあ
真綿,まわた
周り,まわり
満,まん
満員,まんいん
満悦,まんえつ
蔓延,まんえん
漫画,まんが
満開,まんかい
漫画喫茶,まんがきっさ
満額,まんがく
満願,まんがん
満期,まんき
満喫,まんきつ
満月,まんげつ
満載,まんさい
漫才,まんざい
満室,まんしつ
饅頭,まんじゅう
マンション,まんしょん
慢心,まんしん
慢性,まんせい
満席,まんせき
満足,まんぞく
曼荼羅,まんだら
漫談,まんだん
満潮,まんちょう
満天,まんてん
マンドリン,まんどりん
真ん中,まんなか
万年筆,まんねんひつ
万歩計,まんぽけい
万力,まんりき
満塁,まんるい
実入り,みいり
身動き,みうごき
身内,みうち
三浦,みうら
身売り,みうり
見栄,みえ
見納め,みおさめ
見劣り,みおとり
見覚え,みおぼえ
身重,みおも
未開,みかい
味覚,みかく
見掛,みかけ
御影石,みかげいし
味方,みかた
帝,みかど
身柄,みがら
身代わり,みがわり
未完,みかん
幹,みき
右,みぎ
右腕,みぎうで
見聞き,みきき
ミキサー,みきさー
右下,みぎした
右手,みぎて
右左,みぎひだり
右回り,みぎまわり
右横,みぎよこ
右四つ,みぎよつ
右寄り,みぎより
身包み,みぐるみ
未決,みけつ
三毛猫,みけねこ
未見,みけん
巫女,みこ
神輿,みこし
身拵え,みごしらえ
見応え,みごたえ
詔,みことのり
見頃,みごろ
未婚,みこん
見境,みさかい
岬,みさき
御簾,みす
水,みず
未遂,みすい
水着,みずぎ
店,みせ
見せ掛,みせかけ
店構え,みせがまえ
店先,みせさき
見せしめ,みせしめ
見せ所,みせどころ
身銭,みぜに
見せ場,みせば
店番,みせばん
店開き,みせびらき
見世物,みせもの
店屋,みせや
未然,みぜん
味噌,みそ
溝,みぞ
みそしる,みそしる
霙,みぞれ
見出し,みだし
見出し語,みだしご
見た目,みため
道,みち
満ち欠け,みちかけ
道草,みちくさ
満ち潮,みちしお
道の駅,みちのえき
道のり,みちのり
道端,みちばた
満ち干,みちひ
蜜,みつ
蜜月,みつげつ
密談,みつだん
密度,みつど
三つ巴,みつどもえ
三つ葉,みつば
密売,みつばい
蜜蜂,みつばち
三つ股,みつまた
見積,みつもり
密約,みつやく
密輸,みつゆ
密林,みつりん
見て呉れ,みてくれ
味読,みどく
見所,みどころ
緑,みどり
緑色,みどりいろ
緑児,みどりご
皆,みな
身投げ,みなげ
皆様,みなさま
皆さん,みなさん
みなし児,みなしご
港,みなと
南,みなみ
南アフリカ,みなみあふりか
南スーダン,みなみすーだん
源,みなもと
見習,みならい
身なり,みなり
峰,みね
蓑,みの
身の丈,みのたけ
身の程,みのほど
蓑虫,みのむし
稔,みのり
見栄え,みばえ
未払い,みはらい
身振り,みぶり
身震い,みぶるい
身分,みぶん
見本,みほん
見本市,みほんいち
見舞,みまい
未満,みまん
耳,みみ
耳打ち,みみうち
耳そうじ,みみそうじ
耳朶,みみたぶ
耳鳴り,みみなり
耳元,みみもと
未明,みめい
身元,みもと
見物,みもの
未聞,みもん
宮,みや
宮城,みやぎ
土産,みやげ
土産物,みやげもの
都,みやこ
宮崎,みやざき
宮様,みやさま
宮参り,みやまいり
御代,みよ
身寄り,みより
未来,みらい
魅力,みりょく
味醂,みりん
みる貝,みるがい
ミルク,みるく
ミルフィーユ,みるふぃーゆ
未練,みれん
民,みん
民意,みんい
民営,みんえい
民家,みんか
民間,みんかん
民具,みんぐ
民芸,みんげい
民衆,みんしゅう
民宿,みんしゅく
民主主義,みんしゅしゅぎ
民心,みんしん
民政,みんせい
民選,みんせん
民俗,みんぞく
民話,みんわ
無医村,むいそん
ムース,むーす
無我,むが
零余子,むかご
昔,むかし
百足,むかで
無冠,むかん
無期,むき
麦,むぎ
麦茶,むぎちゃ
麦畑,むぎばたけ
麦笛,むぎぶえ
麦踏み,むぎふみ
剥き身,むきみ
麦飯,むぎめし
麦藁,むぎわら
無菌,むきん
尨毛,むくげ
椋鳥,むくどり
浮腫,むくみ
骸,むくろ
無形,むけい
無血,むけつ
婿,むこ
無言,むごん
無罪,むざい
霧散,むさん
無視,むし
蒸しえび,むしえび
虫籠,むしかご
虫食い,むしくい
蒸しケーキ,むしけーき
虫けら,むしけら
虫歯,むしば
虫干し,むしぼし
蒸し焼き,むしやき
無邪気,むじゃき
無心,むしん
無神論,むしんろん
息子,むすこ
結び目,むすびめ
娘,むすめ
娘婿,むすめむこ
無声,むせい
無税,むぜい
無線,むせん
無断,むだん
鞭,むち
鞭打ち,むちうち
睦月,むつき
霧笛,むてき
無届け,むとどけ
棟木,むなぎ
胸倉,むなぐら
胸騒ぎ,むなさわぎ
胸鰭,むなびれ
胸元,むなもと
無二,むに
むにゅむにゅ,むにゅむにゅ
旨,むね
